User ID,Product Code,Payment Status,Coupon code,Lead Registered Time,Sales Date,Source,Product Amount with GST,Payment Mode,Currency  Code,Transaction Bank
user87,Product11,Initiated,,"Jul 31, 2022 09:12 pm","Jul 31, 2022",Direct,1499,,INR,
user90,Product8,Initiated,,"Jul 31, 2022 08:37 pm","Jul 31, 2022",Influencer,59,,USD,
user93,Product3,Initiated,,"Jul 31, 2022 07:35 pm","Jul 31, 2022",Direct,1999,,INR,
user98,Product3,paid,,"Jul 31, 2022 06:24 pm","Jul 31, 2022",Direct,1999,paylater,INR,NA
user99,Product8,Initiated,,"Jul 31, 2022 06:20 pm","Jul 31, 2022",Influencer,59,,USD,
user100,Product3,Initiated,,"Jul 31, 2022 06:19 pm","Jul 31, 2022",Direct,1999,,INR,
user101,Product9,Initiated,,"Jul 31, 2022 06:00 pm","Jul 31, 2022",Direct,999,,INR,
user104,Product4,Initiated,,"Jul 31, 2022 05:02 pm","Jul 31, 2022",Direct,2022,,INR,
user105,Product2,Initiated,,"Jul 31, 2022 04:51 pm","Jul 31, 2022",Direct,999,,INR,
user98,Product3,Initiated,,"Jul 31, 2022 06:17 pm","Jul 31, 2022",Direct,1999,,INR,
user98,Product3,Initiated,,"Jul 31, 2022 06:15 pm","Jul 31, 2022",Direct,1999,,INR,
user110,Product4,Initiated,,"Jul 31, 2022 04:51 pm","Jul 31, 2022",Direct,2022,,INR,
user111,Product14,paid,,"Jul 31, 2022 04:45 pm","Jul 31, 2022",Direct,699,upi,INR,NA
user105,Product2,paid,,"Jul 31, 2022 04:40 pm","Jul 31, 2022",Direct,999,upi,INR,NA
user60,Product3,Initiated,,"Jul 31, 2022 04:38 pm","Jul 31, 2022",Direct,149,,USD,
user113,Product4,Initiated,,"Jul 31, 2022 03:13 pm","Jul 31, 2022",Direct,2022,,INR,
user115,Product2,paid,,"Jul 31, 2022 03:04 pm","Jul 31, 2022",Direct,999,upi,INR,NA
user117,Product15,Initiated,,"Jul 31, 2022 02:45 pm","Jul 31, 2022",Direct,1999,,INR,
user118,Product4,Initiated,,"Jul 31, 2022 02:28 pm","Jul 31, 2022",Direct,2022,,INR,
user121,Product9,Initiated,,"Jul 31, 2022 01:45 pm","Jul 31, 2022",Direct,999,,INR,
user122,Product16,Initiated,,"Jul 31, 2022 01:30 pm","Jul 31, 2022",Influencer,1499,,INR,
user124,Product2,Initiated,,"Jul 31, 2022 12:18 pm","Jul 31, 2022",Direct,999,,INR,
user125,Product17,paid,Coupon1,"Jul 31, 2022 05:57 pm","Jul 31, 2022",Paid,374,upi,INR,NA
user127,Product4,Initiated,,"Jul 31, 2022 05:01 pm","Jul 31, 2022",Direct,2022,,INR,
user128,Product18,Initiated,,"Jul 31, 2022 04:42 pm","Jul 31, 2022",Direct,1999,,INR,
user130,Product8,Initiated,,"Jul 31, 2022 03:55 pm","Jul 31, 2022",Influencer,1499,,INR,
user132,Product19,Initiated,,"Jul 31, 2022 03:39 pm","Jul 31, 2022",Direct,2999,,INR,
user133,Product4,Initiated,,"Jul 31, 2022 03:26 pm","Jul 31, 2022",Direct,2022,,INR,
user133,Product4,Initiated,,"Jul 31, 2022 03:25 pm","Jul 31, 2022",Direct,2022,,INR,
user133,Product4,Initiated,,"Jul 31, 2022 03:25 pm","Jul 31, 2022",Direct,2022,,INR,
user134,Product8,Initiated,,"Jul 31, 2022 03:24 pm","Jul 31, 2022",Influencer,1499,,INR,
user115,Product2,Initiated,,"Jul 31, 2022 02:59 pm","Jul 31, 2022",Direct,999,,INR,
user136,Product5,Initiated,,"Jul 31, 2022 02:10 pm","Jul 31, 2022",Direct,1999,,INR,
user122,Product20,Initiated,,"Jul 31, 2022 01:34 pm","Jul 31, 2022",Influencer,1499,,INR,
user122,Product16,Initiated,,"Jul 31, 2022 01:28 pm","Jul 31, 2022",Influencer,1499,,INR,
user139,Product8,Initiated,Coupon2,"Jul 31, 2022 01:07 pm","Jul 31, 2022",Influencer,1499,,INR,
user142,Product5,Initiated,,"Jul 31, 2022 12:12 pm","Jul 31, 2022",Direct,1999,,INR,
user143,Product15,Initiated,,"Jul 31, 2022 11:50 am","Jul 31, 2022",Direct,1999,,INR,
user143,Product15,Initiated,,"Jul 31, 2022 11:49 am","Jul 31, 2022",Direct,1999,,INR,
user60,Product3,Initiated,,"Jul 31, 2022 04:36 pm","Jul 31, 2022",Direct,149,,USD,
user144,Product4,Initiated,,"Jul 31, 2022 04:15 pm","Jul 31, 2022",Direct,2022,,INR,
user145,Product5,Initiated,,"Jul 31, 2022 03:35 pm","Jul 31, 2022",Direct,1999,,INR,
user147,Product9,Initiated,,"Jul 31, 2022 02:43 pm","Jul 31, 2022",Direct,999,,INR,
user118,Product4,Initiated,,"Jul 31, 2022 02:37 pm","Jul 31, 2022",Direct,2022,,INR,
user122,Product21,Initiated,,"Jul 31, 2022 01:35 pm","Jul 31, 2022",Influencer,2999,,INR,
user122,Product16,Initiated,,"Jul 31, 2022 01:29 pm","Jul 31, 2022",Influencer,1499,,INR,
user150,Product5,Initiated,,"Jul 31, 2022 01:04 pm","Jul 31, 2022",Direct,1999,,INR,
user152,Product5,Initiated,,"Jul 31, 2022 12:42 pm","Jul 31, 2022",Direct,1999,,INR,
user154,Product3,paid,,"Jul 31, 2022 11:51 am","Jul 31, 2022",Direct,1999,netbanking,INR,ICIC
user155,Product4,Initiated,,"Jul 31, 2022 11:47 am","Jul 31, 2022",Direct,2022,,INR,
user157,Product2,Initiated,,"Jul 31, 2022 11:05 am","Jul 31, 2022",Direct,999,,INR,
user160,Product4,Initiated,,"Jul 31, 2022 10:53 am","Jul 31, 2022",Direct,2022,,INR,
user161,Product2,paid,,"Jul 31, 2022 10:52 am","Jul 31, 2022",Direct,999,upi,INR,NA
user162,Product8,Initiated,,"Jul 31, 2022 10:48 am","Jul 31, 2022",Influencer,59,,USD,
user163,Product22,Initiated,,"Jul 31, 2022 10:42 am","Jul 31, 2022",Direct,1499,,INR,
user164,Product1,Initiated,,"Jul 31, 2022 12:17 pm","Jul 31, 2022",Paid,3999,,INR,
user166,Product4,Initiated,,"Jul 31, 2022 11:20 am","Jul 31, 2022",Direct,2022,,INR,
user168,Product18,Initiated,,"Jul 31, 2022 10:44 am","Jul 31, 2022",Direct,1999,,INR,
user173,Product7,Initiated,,"Jul 31, 2022 08:38 am","Jul 31, 2022",Direct,499,,INR,
user177,Product23,Initiated,,"Jul 31, 2022 08:11 am","Jul 31, 2022",Direct,1499,,INR,
user178,Product10,Initiated,,"Jul 31, 2022 08:00 am","Jul 31, 2022",Direct,999,,INR,
user177,Product23,paid,,"Jul 31, 2022 07:34 am","Jul 31, 2022",Influencer,1499,upi,INR,NA
user179,Product2,Initiated,,"Jul 31, 2022 07:27 am","Jul 31, 2022",Direct,999,,INR,
user180,Product4,Initiated,,"Jul 31, 2022 06:31 am","Jul 31, 2022",Direct,2022,,INR,
user182,Product4,paid,,"Jul 31, 2022 01:31 am","Jul 30, 2022",Direct,2022,upi,INR,NA
user182,Product4,Initiated,,"Jul 31, 2022 01:03 am","Jul 30, 2022",Direct,2022,,INR,
user184,Product2,paid,,"Jul 31, 2022 10:57 am","Jul 31, 2022",Direct,999,upi,INR,NA
user186,Product4,Initiated,,"Jul 31, 2022 10:07 am","Jul 31, 2022",Direct,2022,,INR,
user187,Product4,Initiated,,"Jul 31, 2022 09:52 am","Jul 31, 2022",Direct,2022,,INR,
user188,Product8,Initiated,,"Jul 31, 2022 09:19 am","Jul 31, 2022",Influencer,1499,,INR,
user189,Product4,Initiated,,"Jul 31, 2022 09:05 am","Jul 31, 2022",Direct,2022,,INR,
user191,Product24,Initiated,,"Jul 31, 2022 08:29 am","Jul 31, 2022",Direct,666,,INR,
user192,Product4,Initiated,,"Jul 31, 2022 08:03 am","Jul 31, 2022",Direct,2022,,INR,
user195,Product3,Initiated,,"Jul 31, 2022 06:17 am","Jul 31, 2022",Direct,149,,USD,
user196,Product9,paid,,"Jul 31, 2022 06:02 am","Jul 31, 2022",Direct,999,upi,INR,NA
user197,Product9,Initiated,,"Jul 31, 2022 03:29 am","Jul 30, 2022",Direct,999,,INR,
user200,Product8,Initiated,,"Jul 31, 2022 02:03 am","Jul 30, 2022",Influencer,59,,USD,
user201,Product18,Initiated,,"Jul 31, 2022 01:52 am","Jul 30, 2022",Direct,1999,,INR,
user203,Product25,Initiated,,"Jul 31, 2022 01:31 am","Jul 30, 2022",Direct,1499,,INR,
user204,Product4,paid,,"Jul 31, 2022 01:31 am","Jul 30, 2022",Direct,2022,upi,INR,NA
user207,Product8,Initiated,,"Jul 31, 2022 12:16 am","Jul 30, 2022",Influencer,1499,,INR,
user208,Product26,Initiated,,"Jul 31, 2022 12:14 am","Jul 30, 2022",Direct,999,,INR,
user210,Product5,Initiated,,"Jul 31, 2022 10:18 am","Jul 31, 2022",Direct,1999,,INR,
user212,Product19,Initiated,,"Jul 31, 2022 09:54 am","Jul 31, 2022",Direct,2999,,INR,
user213,Product10,Initiated,,"Jul 31, 2022 09:34 am","Jul 31, 2022",Direct,999,,INR,
user188,Product8,Initiated,,"Jul 31, 2022 09:18 am","Jul 31, 2022",Influencer,1499,,INR,
user216,Product2,Initiated,,"Jul 31, 2022 08:55 am","Jul 31, 2022",Direct,999,,INR,
user217,Product9,paid,,"Jul 31, 2022 08:52 am","Jul 31, 2022",Direct,999,upi,INR,NA
user173,Product27,Initiated,,"Jul 31, 2022 08:35 am","Jul 31, 2022",Direct,699,,INR,
user173,Product27,Initiated,,"Jul 31, 2022 08:34 am","Jul 31, 2022",Direct,699,,INR,
user180,Product4,Initiated,,"Jul 31, 2022 06:52 am","Jul 31, 2022",Direct,2022,,INR,
user180,Product4,paid,,"Jul 31, 2022 06:24 am","Jul 31, 2022",Direct,2022,upi,INR,NA
user195,Product3,Initiated,,"Jul 31, 2022 06:18 am","Jul 31, 2022",Direct,149,,USD,
user201,Product18,Initiated,,"Jul 31, 2022 01:54 am","Jul 30, 2022",Direct,1999,,INR,
user221,Product2,Initiated,,"Jul 31, 2022 01:26 am","Jul 30, 2022",Direct,999,,INR,
user221,Product2,Initiated,,"Jul 31, 2022 01:26 am","Jul 30, 2022",Direct,999,,INR,
user223,Product6,Initiated,,"Jul 30, 2022 11:46 pm","Jul 30, 2022",Direct,899,,INR,
user224,Product3,Initiated,,"Jul 30, 2022 11:42 pm","Jul 30, 2022",Direct,1999,,INR,
user225,Product8,Initiated,,"Jul 30, 2022 11:07 pm","Jul 30, 2022",Influencer,59,,USD,
user227,Product4,Initiated,,"Jul 31, 2022 12:20 am","Jul 30, 2022",Direct,2022,,INR,
user208,Product8,Initiated,,"Jul 30, 2022 11:51 pm","Jul 30, 2022",Influencer,1499,,INR,
user228,Product3,paid,,"Jul 30, 2022 11:19 pm","Jul 30, 2022",Direct,1999,netbanking,INR,HDFC
user225,Product8,Initiated,,"Jul 30, 2022 11:07 pm","Jul 30, 2022",Influencer,59,,USD,
user234,Product5,Initiated,,"Jul 30, 2022 09:39 pm","Jul 30, 2022",Direct,1999,,INR,
user234,Product5,Initiated,,"Jul 30, 2022 09:38 pm","Jul 30, 2022",Direct,1999,,INR,
user236,Product10,Initiated,,"Jul 30, 2022 09:34 pm","Jul 30, 2022",Direct,999,,INR,
user239,Product9,Initiated,,"Jul 30, 2022 07:26 pm","Jul 30, 2022",Direct,999,,INR,
user242,Product3,Initiated,,"Jul 30, 2022 06:44 pm","Jul 30, 2022",Direct,1999,,INR,
user228,Product3,Initiated,,"Jul 30, 2022 11:19 pm","Jul 30, 2022",Direct,1999,,INR,
user246,Product5,Initiated,,"Jul 30, 2022 10:06 pm","Jul 30, 2022",Direct,1999,,INR,
user247,Product5,Initiated,,"Jul 30, 2022 10:04 pm","Jul 30, 2022",Direct,1999,,INR,
user248,Product8,Initiated,,"Jul 30, 2022 09:29 pm","Jul 30, 2022",Direct,1499,,INR,
user249,Product18,Initiated,,"Jul 30, 2022 09:24 pm","Jul 30, 2022",Direct,1999,,INR,
user249,Product18,Initiated,,"Jul 30, 2022 09:13 pm","Jul 30, 2022",Direct,1999,,INR,
user251,Product3,Initiated,,"Jul 30, 2022 08:37 pm","Jul 30, 2022",Direct,1999,,INR,
user252,Product1,Initiated,,"Jul 30, 2022 08:37 pm","Jul 30, 2022",Email,3999,,INR,
user254,Product9,paid,,"Jul 30, 2022 08:29 pm","Jul 30, 2022",Direct,999,upi,INR,NA
user259,Product4,Initiated,,"Jul 30, 2022 06:50 pm","Jul 30, 2022",Direct,2022,,INR,
